// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.0.2
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Roll	Pitch	Yaw	Latitude	Longitude	Altitude	Vel_X	Vel_Y	Vel_Z
16901		0.022505	-0.394521	9.841351	0.032568	-0.011179	-0.000244	-2.876370	-0.027889	38.415636			0.000000			
16902		-0.029916	-0.390830	9.852163	0.005438	-0.010637	0.000600	-2.874327	-0.035332	38.422525			0.000000			
16903		-0.083285	-0.478017	9.815030	-0.015026	-0.022638	0.011043	-2.883559	-0.049750	38.439468			0.000000			
16904		-0.055196	-0.597290	9.795406	-0.015789	-0.031677	0.007790	-2.893686	-0.069024	38.451080			0.000000			
16905		-0.063496	-0.653525	9.748847	-0.000700	-0.029857	0.005575	-2.895049	-0.088155	38.450693			0.000000			
16906		-0.004647	-0.651827	9.696015	0.021108	-0.024529	-0.001191	-2.884035	-0.103599	38.456960			0.000000			
16907		0.044572	-0.599310	9.702250	0.036030	-0.010287	-0.005968	-2.863900	-0.111155	38.471093			0.000000			
16908		0.049251	-0.505880	9.708100	0.012557	0.002740	-0.007037	-2.857778	-0.111163	38.473227			0.000000			
16909		0.018546	-0.551914	9.731703	-0.015858	0.007648	-0.006714	-2.867490	-0.108604	38.481960			0.000000			
16910		0.010420	-0.591182	9.700573	-0.031462	0.005919	-0.012428	-2.886582	-0.106948	38.480919			0.000000			
16911		0.009240	-0.665956	9.710194	-0.013630	0.010448	-0.021420	-2.895111	-0.103317	38.477197			0.000000			
16912		0.039196	-0.604396	9.744226	0.007628	0.018486	-0.016034	-2.891802	-0.094575	38.473729			0.000000			
16913		-0.008279	-0.565095	9.786055	0.003423	0.013902	-0.018291	-2.890832	-0.089255	38.459815			0.000000			
16914		0.047096	-0.564672	9.733141	-0.010180	0.005990	-0.022413	-2.897722	-0.087848	38.453057			0.000000			
16915		0.089872	-0.606964	9.733418	-0.011043	0.007067	-0.025067	-2.904911	-0.086262	38.444585			0.000000			
16916		0.095440	-0.586538	9.706779	-0.001779	0.015011	-0.029506	-2.906982	-0.079901	38.433506			0.000000			
16917		0.051799	-0.529946	9.764048	-0.010940	0.015463	-0.031333	-2.914085	-0.073944	38.417699			0.000000			
16918		0.014771	-0.526309	9.804364	-0.029600	0.004037	-0.040369	-2.932091	-0.074184	38.400723			0.000000			
16919		0.023850	-0.577809	9.745215	-0.021901	-0.003636	-0.042851	-2.945561	-0.079551	38.376186			0.000000			
16920		-0.004506	-0.536342	9.816619	0.000329	-0.001561	-0.051726	-2.946407	-0.083335	38.352876			0.000000			
16921		-0.017447	-0.520698	9.802531	0.021395	-0.005087	-0.050120	-2.934805	-0.089252	38.337965			0.000000			
16922		0.014923	-0.383507	9.827043	0.032928	-0.012683	-0.051966	-2.916968	-0.099398	38.314842			0.000000			
16923		-0.006867	-0.333365	9.814346	0.018423	-0.017083	-0.050272	-2.907258	-0.112344	38.292999			0.000000			
16924		0.048827	-0.334424	9.803587	-0.008139	-0.024504	-0.045236	-2.912950	-0.129053	38.274068			0.000000			
16925		0.057713	-0.386916	9.786667	-0.011742	-0.026145	-0.041118	-2.920849	-0.147420	38.242251			0.000000			
16926		0.122251	-0.438032	9.716828	-0.001470	-0.013017	-0.034413	-2.922726	-0.157244	38.229180			0.000000			
16927		0.146148	-0.428354	9.662243	0.012898	-0.009338	-0.037689	-2.916075	-0.165344	38.217041			0.000000			
16928		0.203393	-0.409266	9.667031	0.028799	0.010116	-0.031320	-2.900609	-0.161837	38.205065			0.000000			
16929		0.145810	-0.335223	9.710317	0.022319	0.021220	-0.024556	-2.888511	-0.152175	38.199182			0.000000			
16930		0.113931	-0.308324	9.724178	-0.014773	0.020864	-0.025029	-2.898022	-0.142334	38.190497			0.000000			
16931		0.069388	-0.326536	9.791166	-0.038874	0.020154	-0.023045	-2.921020	-0.133150	38.186137			0.000000			
16932		0.034201	-0.395397	9.799068	-0.048036	0.015228	-0.020159	-2.949598	-0.126396	38.180397			0.000000			
16933		0.015925	-0.476166	9.778927	-0.037860	0.008969	-0.020980	-2.971994	-0.123488	38.179191			0.000000			
16934		0.012339	-0.480986	9.820937	-0.007626	0.010420	-0.022259	-2.977417	-0.119552	38.172387			0.000000			
16935		0.058004	-0.429980	9.827143	0.025496	0.020832	-0.021807	-2.963509	-0.109920	38.169496			0.000000			
16936		0.043067	-0.325057	9.861033	0.012944	0.023389	-0.019489	-2.957150	-0.098479	38.163895			0.000000			
16937		0.003404	-0.352148	9.786140	-0.025810	0.012137	-0.012727	-2.972729	-0.093699	38.162311			0.000000			
16938		0.049850	-0.450564	9.811545	-0.042905	0.005574	-0.014296	-2.998376	-0.092300	38.160208			0.000000			
16939		0.068206	-0.535659	9.750960	-0.022702	0.014031	-0.013145	-3.011858	-0.085998	38.172383			0.000000			
16940		0.083866	-0.532524	9.780611	0.005435	0.018623	-0.014448	-3.009808	-0.077136	38.169800			0.000000			
16941		0.038541	-0.490793	9.780335	0.010773	0.018124	-0.013251	-3.004621	-0.069432	38.155431			0.000000			
16942		0.076719	-0.476617	9.755549	0.009261	0.018702	-0.013812	-3.000380	-0.060507	38.153211			0.000000			
16943		0.058413	-0.391497	9.773896	0.003273	0.018703	-0.012922	-2.999258	-0.051802	38.154848			0.000000			
16944		0.049869	-0.413260	9.800454	-0.016774	0.027188	-0.014981	-3.009934	-0.038057	38.151703			0.000000			
16945		0.084649	-0.477830	9.827287	-0.035325	0.024378	-0.007086	-3.030970	-0.026116	38.152373			0.000000			
16946		0.065468	-0.557957	9.807026	-0.037051	0.021173	-0.007684	-3.053267	-0.015592	38.153578			0.000000			
16947		0.057350	-0.582003	9.833419	-0.022402	0.015501	-0.009960	-3.066999	-0.009104	38.146331			0.000000			
16948		0.039496	-0.571173	9.861318	0.001411	0.014771	-0.015099	-3.067259	-0.002470	38.143484			0.000000			
16949		-0.005069	-0.529505	9.861002	0.014327	0.005894	-0.017983	-3.059741	-0.001477	38.140418			0.000000			
16950		0.001133	-0.434607	9.824927	0.008999	-0.004460	-0.021387	-3.055652	-0.006038	38.134563			0.000000			
16951		0.015633	-0.448652	9.839106	0.000412	-0.011953	-0.019061	-3.056036	-0.015137	38.135174			0.000000			
16952		0.033167	-0.460528	9.811153	-0.001024	-0.008327	-0.021173	-3.057689	-0.021904	38.129559			0.000000			
16953		0.043911	-0.421423	9.800135	-0.009694	-0.008018	-0.015089	-3.063900	-0.028554	38.132539			0.000000			
16954		0.027587	-0.426095	9.770388	-0.004564	-0.006936	-0.018623	-3.067580	-0.034448	38.128342			0.000000			
16955		0.055598	-0.455675	9.798664	-0.007385	-0.007359	-0.015017	-3.072145	-0.040251	38.145840			0.000000			
16956		0.025437	-0.445491	9.754784	0.000471	-0.003411	-0.013710	-3.072941	-0.043976	38.144348			0.000000			
16957		0.062670	-0.434812	9.772099	0.000310	0.001343	-0.008404	-3.073390	-0.044980	38.152876			0.000000			
16958		0.059222	-0.453391	9.756534	-0.002415	-0.001522	-0.013245	-3.075839	-0.047610	38.151593			0.000000			
16959		0.036564	-0.463439	9.811004	-0.012460	0.000094	-0.006134	-3.082995	-0.048276	38.190720			0.000000			
